,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy
4052,1500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ojodu,Opic Isheri North,
4053,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Uche Dimgba Close Oregun,
4054,3500000,1,0,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Osapa London,
4055,10000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Old Ikoyi Lagos Old Ikoyi,
4056,1000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,Awoyaya,
4057,3200000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Lekki,Orchid Rd Chevron,
4058,1500000,0,1,1,4,5,5,1,1,0,0,0,1,Lagos,Ojodu,Opic Estate Isheri North,
4059,3500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,
4060,5000000,0,1,0,4,3,4,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4061,1200000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Isolo,Ajao Estate Isolo. Lagos Mainland Ajao Estate,
4062,3000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Uche Dimgba Close Oregun,
4063,3500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Chevron Chevron,
4064,10000000,0,0,0,3,3,4,1,1,0,0,0,1,Lagos,Ikoyi,Old Ikoyi Old Ikoyi,
4065,9000000,0,0,1,5,5,5,1,1,0,0,0,1,Lagos,Lekki,Nicon Town Nicon Town,
4066,6500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4067,2500000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Yaba,Sabo Sabo,
4068,2800000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikota,
4069,9000000,1,0,1,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Victoria Island Extension Victoria,
4070,2000000,0,0,1,3,3,4,1,1,0,0,0,1,Lagos,Gbagada,"31, Gbagada Road, Gbgada Phase 2 Phase 2",
4071,2000000,0,0,0,5,5,5,1,1,0,0,0,1,Lagos,Ilupeju,Ilupeju Coker Road,
4072,4000000,0,0,0,4,4,4,1,1,0,0,0,1,Lagos,Lekki, Lekki Phase 1,
4073,7000000,0,0,1,5,5,5,1,1,0,0,0,1,Lagos,Ikeja,Ikeja Gra,
4074,7000000,1,1,1,4,4,4,1,1,0,0,0,1,Lagos,Victoria Island,Oniru Victoria,
4075,6000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,"Off Almiralty Way, Close To Freedom Way. Lekki Phase 1",
4076,3000000,1,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,7 Osapa Road Lekki. Osapa London,
4077,1800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ajah,Ajah,
4078,10000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi,
4079,7500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Ikoyi,
4080,4300000,1,1,1,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Off Admiralty Way Lekki Phase 1,
4081,1200000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Isolo,Ajao Estate Isolo. Lagos Mainland Ajao Estate,
4082,5000000,0,0,0,4,5,5,1,1,0,0,0,1,Lagos,Ikoyi, Parkview Estate,
4083,4800000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Lekki Phase 1,
4084,5000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Ikeja,Off Isaac John Street Ikeja Gra,
4085,1800000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Maryland,Mende,
4086,5000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,Chevron Chevron,
4087,3500000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Lekki,,
4088,6000000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Ikeja, Ikeja Gra,
4089,1500000,0,0,0,4,3,3,1,1,0,0,0,1,Lagos,Maryland,Anthony Anthony Village,
4090,5000000,0,0,0,4,0,0,1,1,0,0,0,1,Lagos,Victoria Island,Off Palace Road Oniru Victoria,
4091,5000000,0,0,0,5,5,6,1,1,0,0,0,1,Lagos,Lekki,"Oladimeji Alo Street, Lekki Phase 1",
4092,3500000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,"Valley Stream Estate, Osapa London",
