,Unnamed: 0,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Duplex,Terraced,Detached,Penthouse,Apartment,House,State,Area,Microlocation,Area Dummy,location_append,Price Standard,Longitude,Latitude
3655,3655,3000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Road 16 Ikota,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3656,3656,4800000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Kusenla Road Ikate,,"Lekki, Lagos",0.44059374316662314,3.811528889589191,6.463467417995378
3657,3657,4500000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,"Off Kusenla Road, Ikate Elequishi Ikate",,"Lekki, Lagos",0.3032566134218111,3.811528889589191,6.463467417995378
3658,3658,6000000,0,1,0,4,5,6,1,1,0,0,0,1,Lagos,Victoria Island,Dideolu Estate Ligali Ayorinde Victoria,,"Victoria Island, Lagos",0.9899422621458714,3.44001490107383,6.428345382914202
3659,3659,5000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
3660,3660,2000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Eputu Ibeju,,"Lekki, Lagos",-0.8412194677849562,3.811528889589191,6.463467417995378
3661,3661,8000000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Victoria Island,Victoria,,"Victoria Island, Lagos",1.9055231271112851,3.44001490107383,6.428345382914202
3662,3662,10000000,1,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ikoyi,Hameed Kasumu Parkview Estate,,"Ikoyi, Lagos",2.821103992076699,3.4223636811624742,6.4547194487926385
3663,3663,3000000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Lekki,Vgc Estate Lekki Phase 2 Vgc,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3664,3664,5000000,1,0,0,4,4,5,1,1,0,0,0,1,Lagos,Lekki,Ikate Elegushi Ikate,,"Lekki, Lagos",0.5321518296631645,3.811528889589191,6.463467417995378
3665,3665,2000000,0,0,0,3,3,3,1,1,0,0,0,1,Lagos,Ajah,"Sangotedo, Lekki Lagos Sangotedo",,"Ajah, Lagos",-0.8412194677849562,3.5659176270003927,6.4616185490531635
3666,3666,3000000,1,0,0,4,4,4,1,1,0,0,0,1,Lagos,Lekki,Orchid Road. Lafiaji Chevron,,"Lekki, Lagos",-0.38342903530224925,3.811528889589191,6.463467417995378
3667,3667,1700000,0,0,0,4,4,5,1,1,0,0,0,1,Lagos,Gbagada, Atunrase Medina,,"Gbagada, Lagos",-0.9785565975297682,3.384354402026543,6.559514044678202
3668,3668,3000000,0,0,0,3,0,0,1,1,0,0,0,1,Lagos,Maryland,Mende Villa 2 Mende,,"Maryland, Lagos",-0.38342903530224925,3.3687836603272276,6.5763437989010685
3669,3669,2000000,0,1,0,4,4,5,1,1,0,0,0,1,Lagos,Ojodu,Opic Estate Isheri North Isheri North,,"Ojodu, Lagos",-0.8412194677849562,3.3632243589774644,6.6409227554929595
3670,3670,1200000,0,1,0,3,3,4,1,1,0,0,0,1,Lagos,Ojodu,Opic Estate Isheri North Isheri North,,"Ojodu, Lagos",-1.2074518137711217,3.3632243589774644,6.6409227554929595
